Phage Accession	Host Species	Host Genus	Used in analysis	Phage Family	Dataset
NC_023570	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Network
NC_023572	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023573	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_023575	Pseudomonas aeruginosa	Pseudomonas	1	UnclassifieddsDNAPhage	Network
NC_023577	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023578	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023580	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023581	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Network
NC_023582	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_023583	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_023584	Synechococcus sp. WH7803	Synechococcus	1	Myoviridae	Network
NC_023587	Synechococcus sp. WH7803	Synechococcus	1	Myoviridae	Network
NC_023589	Shigella boydii	Shigella	1	Podoviridae	Network
NC_023590	Acinetobacter baumannii	Acinetobacter	1	Siphoviridae	Network
NC_023591	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023593	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_023596	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_023597	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023599	Bacillus thuringiensis	Bacillus	1	Siphoviridae	Network
NC_023600	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023601	Pseudomonas syringae	Pseudomonas	1	Myoviridae	Network
NC_023602	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023603	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023604	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023605	Vibrio alginolyticus	Vibrio	1	Podoviridae	Network
NC_023606	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023607	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023608	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_023609	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023686	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023687	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023689	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023690	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023691	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023692	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023695	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023696	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_023697	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023698	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023699	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023700	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_023701	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023702	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023703	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023704	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023705	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023707	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023708	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023709	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023710	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023711	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023712	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023713	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023714	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_023715	Yersinia pestis	Yersinia	1	Podoviridae	Network
NC_023716	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023718	Pseudomonas tolaasii	Pseudomonas	1	UnclassifiedPhage	Network
NC_023719	Bacillus megaterium	Bacillus	1	Myoviridae	Network
NC_023720	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023721	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023723	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023724	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023725	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_023726	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023727	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023728	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023729	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023730	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023731	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023732	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023733	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_023737	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_023738	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023739	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023740	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023741	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023742	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023743	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_023744	Mycobacterium tuberculosis	Mycobacterium	1	Siphoviridae	Network
NC_023745	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023746	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023747	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023748	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023856	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_023862	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023863	Vibrio anguillarum	Vibrio	1	Podoviridae	Network
NC_024122	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_024123	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_024124	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_024125	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_024134	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_024135	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024136	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024137	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_024138	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024139	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_024140	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_024141	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024143	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024144	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_024145	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024146	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_024147	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024148	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024203	Lactococcus lactis [Germany]	Lactococcus	1	Siphoviridae	Network
NC_024204	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_024205	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024207	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024208	Lactococcus lactis [Germany]	Lactococcus	1	Siphoviridae	Network
NC_024209	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024210	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_024211	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024213	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024214	Lactococcus lactis [Germany]	Lactococcus	1	Siphoviridae	Network
NC_024215	Lactococcus lactis [Germany]	Lactococcus	1	Siphoviridae	Network
NC_024216	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024330	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_024355	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_024357	Streptococcus pneumoniae	Streptococcus	1	UnclassifiedPhage	Network
NC_024358	Anabaena variabilis	Anabaena	1	Podoviridae	Network
NC_024361	Streptococcus pneumoniae	Streptococcus	1	UnclassifiedPhage	Network
NC_024362	Pseudomonas syringae	Pseudomonas	1	Podoviridae	Network
NC_024363	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024365	Pseudomonas syringae	Pseudomonas	1	Siphoviridae	Network
NC_024366	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024368	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024369	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_024370	Streptococcus pneumoniae	Streptococcus	1	UnclassifiedPhage	Network
NC_024371	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_024379	Escherichia coli O157:H7	Escherichia	1	Podoviridae	Network
NC_024381	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_024391	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_024782	Pseudomonas aeruginosa PA14	Pseudomonas	1	Siphoviridae	Network
NC_024783	Escherichia coli [bovine]	Escherichia	1	Siphoviridae	Network
NC_024784	Escherichia coli O157:H7	Escherichia	1	Siphoviridae	Network
NC_024785	Acinetobacter baumannii	Acinetobacter	1	Myoviridae	Network
NC_024786	Escherichia coli [avian]	Escherichia	1	Podoviridae	Network
NC_024788	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024789	Escherichia coli O157:H7	Escherichia	1	Siphoviridae	Network
NC_024790	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_024791	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_024792	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_024793	Escherichia coli O157:H7	Escherichia	1	Siphoviridae	Network
NC_024794	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_001825	Streptococcus pneumoniae	Streptococcus	1	Podoviridae	Network
NC_001890	Escherichia coli	Escherichia	1	Leviviridae	Network
NC_004171	Pseudomonas syringae	Pseudomonas	1	Cystoviridae	Network
NC_004175	Pseudomonas syringae	Pseudomonas	1	Cystoviridae	Network
NC_004301	Escherichia coli	Escherichia	1	Leviviridae	Network
NC_005879	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_005891	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_007581	Clostridium botulinum	Clostridium	1	Myoviridae	Network
NC_010363	Lactococcus lactis [Australia]	Lactococcus	1	Podoviridae	Network
NC_010821	Pseudomonas chlororaphis	Pseudomonas	1	Myoviridae	Network
NC_012092	Pseudomonas syringae	Pseudomonas	1	Cystoviridae	Network
NC_013021	Prochlorococcus sp. MIT9313	Prochlorococcus	1	Siphoviridae	Network
NC_014457	Clostridium tyrobutyricum	Clostridium	1	Siphoviridae	Network
NC_015209	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_015721	Bdellovibrio bacteriovorus	Bdellovibrio	1	Myoviridae	Network
NC_019515	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_019541	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Network
NC_019924	Clostridium sporogenes	Clostridium	1	Siphoviridae	Network
NC_020850	Vibrio parahaemolyticus	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_021561	Vibrio sp. YD38	Vibrio	1	Siphoviridae	Network
NC_021868	Streptococcus pneumoniae	Streptococcus	1	Siphoviridae	Network
NC_022096	Pseudomonas aeruginosa PA01	Pseudomonas	1	Myoviridae	Network
NC_001697	Haemophilus influenzae	Haemophilus	0	Myoviridae	Random Sample
NC_026591	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_031277	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_015454	NA	NA	0	Siphoviridae	Random Sample
NC_027383	Escherichia coli ATCC 11303	Escherichia	1	Siphoviridae	Random Sample
NC_031078	Streptomyces griseus ATCC 10137	Streptomyces	0	Siphoviridae	Random Sample
NC_025440	Listeria monocytogenes	Listeria	0	Myoviridae	Random Sample
NC_020490	Staphylococcus hominis	Staphylococcus	1	Siphoviridae	Random Sample
NC_009815	Listeria monocytogenes	Listeria	0	Siphoviridae	Random Sample
NC_031014	Pseudomonas syringae	Pseudomonas	1	Podoviridae	Random Sample
NC_028953	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_009810	Listeria monocytogenes	Listeria	0	Siphoviridae	Random Sample
NC_027125	Flavobacterium columnare B185	Flavobacterium	0	Myoviridae	Random Sample
NC_013646	Enterococcus faecalis	Enterococcus	0	Siphoviridae	Random Sample
NC_021539	NA	NA	0	Siphoviridae	Random Sample
NC_028946	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_028757	Mycobacterum smegmatis mc2 155	Mycobacterum	0	Siphoviridae	Random Sample
NC_023579	Erwinia amylovora strain Ea17-1-1	Erwinia	0	Podoviridae	Random Sample
NC_028684	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Random Sample
NC_003291	Listeria monocytogenes	Listeria	0	Siphoviridae	Random Sample
NC_029078	Erysipelothrix rhusiopathiae	Erysipelothrix	0	Siphoviridae	Random Sample
NC_015251	Aeromonas salmonicida	Aeromonas	0	Myoviridae	Random Sample
NC_028898	Mannheimia haemolytica 587A serotype A2	Mannheimia	0	Myoviridae	Random Sample
NC_028883	Clostridium difficile	Clostridium	1	Myoviridae	Random Sample
NC_028837	Paenibacillus larvae NRRL 2605	Paenibacillus	0	Siphoviridae	Random Sample
NC_028812	Proteus mirabilis	Proteus	0	Siphoviridae	Random Sample
NC_005260	Aeromonas hydrophila	Aeromonas	0	Myoviridae	Random Sample
NC_018849	Propionibacterium acnes	Propionibacterium	0	Siphoviridae	Random Sample
NC_028805	Brevibacillus laterosporus	Brevibacillus	0	Siphoviridae	Random Sample
NC_027639	NA	NA	0	Microviridae	Random Sample
NC_027336	Propionibacterium acnes	Propionibacterium	0	Siphoviridae	Random Sample
NC_029012	Parabacteroides distasonis	Parabacteroides	0	Microviridae	Random Sample
NC_022987	Xylella fastidiosa	Xylella	0	Podoviridae	Random Sample
NC_019447	Brucella melitensis 16M	Brucella	0	Podoviridae	Random Sample
NC_027130	NA	NA	0	Myoviridae	Random Sample
NC_027394	Bacillus megaterium	Bacillus	1	Podoviridae	Random Sample
NC_009987	Spiroplasma kunkelii	Spiroplasma	0	Inoviridae	Random Sample
NC_029014	Parabacteroides merdae	Parabacteroides	0	Microviridae	Random Sample
NC_021339	Streptomyces lividans	Streptomyces	0	Siphoviridae	Random Sample
NC_028945	Sinorhizobium meliloti	Sinorhizobium	0	Myoviridae	Random Sample
NC_029068	Lactobacillus fermentum	Lactobacillus	0	Siphoviridae	Random Sample
NC_025454	Ralstonia solanacearum	Ralstonia	0	Inoviridae	Random Sample
NC_028977	Klebsiella pneumoniae	Klebsiella	0	Podoviridae	Random Sample
NC_016770	Bacteroides fragilis	Bacteroides	0	Siphoviridae	Random Sample
NC_028888	Lactobacillus paracasei	Lactobacillus	0	Siphoviridae	Random Sample
NC_023734	Psychrobacter sp. MV2	Psychrobacter	0	Siphoviridae	Random Sample
NC_023610	Erwinia amylovora B0.1960 (NCAIM, Hungary)	Erwinia	0	Siphoviridae	Random Sample
NC_025438	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_027390	Proteus mirabilis strain 824 (LMMB NIBOCH	Proteus	0	Podoviridae	Random Sample
NC_029102	Enterobacter cloacae	Enterobacter	0	Podoviridae	Random Sample
NC_021797	Cellulophaga baltica 	Cellulophaga	0	Microviridae	Random Sample
NC_024787	Listeria monocytogenes	Listeria	0	Myoviridae	Random Sample
NC_023576	Citrobacter rodentium	Citrobacter	0	Podoviridae	Random Sample
NC_028786	Klebsiella pneumoniae KP 1513	Klebsiella	0	Siphoviridae	Random Sample
NC_031029	Gordonia terrae 3612	Gordonia	0	Siphoviridae	Random Sample
NC_023717	Cronobacter sakazakii	Cronobacter	0	Myoviridae	Random Sample
NC_030939	Gordonia malaquae strain BEN700	Gordonia	0	Siphoviridae	Random Sample
NC_031007	Erwinia amylovora ATCC 29780	Erwinia	0	Myoviridae	Random Sample
NC_030906	Gordonia malaquae CON67	Gordonia	0	Siphoviridae	Random Sample
NC_019489	Lactobacillus sp.	Lactobacillus	0	Siphoviridae	Random Sample
NC_024380	Leuconostoc pseudomesenteroides LN02	Leuconostoc	0	Siphoviridae	Random Sample
NC_028746	Paenibacillus larvae NRRL 2605	Paenibacillus	0	Siphoviridae	Random Sample
NC_027204	Sinorhizobium meliloti	Sinorhizobium	0	Myoviridae	Random Sample
NC_020880	Leuconostoc pseudomesenteroides BM2	Leuconostoc	0	Siphoviridae	Random Sample
NC_027382	Shigella flexneri serotype 4a	Shigella	1	Myoviridae	Random Sample
NC_029058	Lactobacillus fermentum	Lactobacillus	0	Myoviridae	Random Sample
NC_028742	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_028666	Streptococcus parauberis	Streptococcus	1	Podoviridae	Random Sample
NC_028997	Escherichia coli K-12 MG1655	Escherichia	1	Siphoviridae	Random Sample
NC_031022	Shigella sonnei	Shigella	1	Myoviridae	Random Sample
NC_023551	Enterococcus sp.	Enterococcus	0	Siphoviridae	Random Sample
NC_011222	Bacteroides fragilis HSP40 (ATCC 51477)	Bacteroides	0	Siphoviridae	Random Sample
NC_029120	Shigella sonnei 75/02	Shigella	1	Podoviridae	Random Sample
NC_029100	Pseudoalteromonas sp. Bq0	Pseudoalteromonas	0	Siphoviridae	Random Sample
NC_026597	Mycobacteruim smegmatis mc2 155	Mycobacteruim	0	Siphoviridae	Random Sample
NC_008515	NA	NA	0	Myoviridae	Random Sample
NC_029002	Microcystis aeruginosa	Microcystis	1	Myoviridae	Random Sample
NC_008575	Ralstonia solanacearum	Ralstonia	0	Inoviridae	Random Sample
NC_030918	Pseudomonas aeruginosa PA14	Pseudomonas	1	Siphoviridae	Random Sample
NC_025462	Acinetobacter baumannii	Acinetobacter	1	Myoviridae	Random Sample
NC_025433	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_027381	Escherichia coli	Escherichia	1	Podoviridae	Random Sample
NC_009014	Erwinia amylovora NCPPB 595	Erwinia	0	Podoviridae	Random Sample
NC_028659	Klebsiella pneumoniae M-9	Klebsiella	0	Myoviridae	Random Sample
NC_028657	Pseudomonas aeruginosa YMC11/02/R656	Pseudomonas	1	Siphoviridae	Random Sample
NC_028919	Pseudomonas aeruginosa PAO1	Pseudomonas	1	Podoviridae	Random Sample
NC_017975	NA	NA	0	Myoviridae	Random Sample
NC_022980	Brevibacillus laterosporus	Brevibacillus	0	Myoviridae	Random Sample
NC_027624	Propionibacterium acnes ATCC 6919	Propionibacterium	0	Siphoviridae	Random Sample
NC_027648	NA	NA	0	Microviridae	Random Sample
NC_028663	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Myoviridae	Random Sample
NC_028894	Escherichia coli	Escherichia	1	Myoviridae	Random Sample
NC_027395	Escherichia coli ECOR10	Escherichia	1	Podoviridae	Random Sample
NC_030472	Pan troglodytes	Pan	0	Microviridae	Random Sample
NC_031081	Escherichia coli	Escherichia	1	Siphoviridae	Random Sample
NC_028974	Streptomyces griseus subsp. griseus ATCC 10137	Streptomyces	0	Siphoviridae	Random Sample
NC_023595	Enterococcus faecalis	Enterococcus	0	Siphoviridae	Random Sample
NC_030696	Gordonia terrae 3612	Gordonia	0	Siphoviridae	Random Sample
NC_030920	Bacillus megaterium	Bacillus	1	Myoviridae	Random Sample
NC_015295	NA	NA	0	Myoviridae	Random Sample
NC_012419	Enterococcus faecalis	Enterococcus	0	Siphoviridae	Random Sample
NC_023693	Escherichia coli K92	Escherichia	1	Myoviridae	Random Sample
NC_028944	Bacillus thuringiensis kurstaki	Bacillus	1	Myoviridae	Random Sample
NC_027354	Propionibacterium acnes	Propionibacterium	0	Siphoviridae	Random Sample
NC_005857	Klebsiella oxytoca	Klebsiella	0	Siphoviridae	Random Sample
NC_025420	Lactobacillus delbrueckii	Lactobacillus	0	Siphoviridae	Random Sample
NC_003793	Spiroplasma citri	Spiroplasma	0	Inoviridae	Random Sample
NC_028777	Bacillus megaterium Km Sp-	Bacillus	1	Siphoviridae	Random Sample
NC_028696	Salmonella enterica subsp. diarizonae 89/00 IIIb	Salmonella	1	Podoviridae	Random Sample
NC_031039	Bacillus subtilis subsp. subtilis 168	Bacillus	1	Myoviridae	Random Sample
NC_004305	Lactobacillus	Lactobacillus	0	Siphoviridae	Random Sample
NC_028763	NA	NA	0	Siphoviridae	Random Sample
NC_018837	NA	NA	0	Siphoviridae	Random Sample
NC_028912	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_015465	Synechococcus sp. CB0202	Synechococcus	1	Siphoviridae	Random Sample
NC_018087	Acinetobacter baumannii (clinical strain	Acinetobacter	1	Myoviridae	Random Sample
NC_029004	Clostridium tetani ATCC 453	Clostridium	1	Siphoviridae	Random Sample
NC_028694	Propionibacterium acnes A1-14	Propionibacterium	0	Siphoviridae	Random Sample
NC_028796	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_031091	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Random Sample
NC_018841	Propionibacterium acnes	Propionibacterium	0	Siphoviridae	Random Sample
NC_031281	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_028838	Clostridium difficile	Clostridium	1	Myoviridae	Random Sample
NC_025115	Ralstonia solanacearum	Ralstonia	0	Myoviridae	Random Sample
NC_027377	Leuconostoc mesenteroides subsp. mesenteroides D6a	Leuconostoc	0	Siphoviridae	Random Sample
NC_028984	Streptococcus mutans P42-SM	Streptococcus	1	Siphoviridae	Random Sample
NC_028914	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_030934	Pseudomonas syringae pv. porri LMG 28495	Pseudomonas	1	Myoviridae	Random Sample
NC_028863	Escherichia coli DE69	Escherichia	1	Podoviridae	Random Sample
NC_031233	Gordonia terrae 3612	Gordonia	0	Siphoviridae	Random Sample
NC_028902	NA	NA	0	Leviviridae	Random Sample
NC_028864	NA	NA	0	Siphoviridae	Random Sample
NC_028969	Brevibacillus laterosporus	Brevibacillus	0	Myoviridae	Random Sample
NC_031262	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_013152	Lactococcus lactis SMQ-404	Lactococcus	1	Siphoviridae	Random Sample
NC_029061	Rhodoferax sp. IMCC26218	Rhodoferax	0	Podoviridae	Random Sample
NC_031944	Synechococcus sp.	Synechococcus	1	Myoviridae	Random Sample
NC_029065	NA	NA	0	Myoviridae	Random Sample
NC_018270	Weissella cibaria YS61	Weissella	0	Podoviridae	Random Sample
NC_028780	NA	NA	0	Myoviridae	Random Sample
NC_028764	Clostridium difficile	Clostridium	1	Myoviridae	Random Sample
NC_031096	Pectobacterium atrosepticum PB72	Pectobacterium	0	Podoviridae	Random Sample
NC_015272	NA	NA	0	Myoviridae	Random Sample
NC_007967	Streptomyces aureofaciens	Streptomyces	0	Siphoviridae	Random Sample
NC_030948	NA	NA	0	Myoviridae	Random Sample
NC_021532	Alteromonas macleodii str. Balearic Sea AD45	Alteromonas	0	Podoviridae	Random Sample
NC_031224	Arthrobacter sp. ATCC 21022	Arthrobacter	0	Siphoviridae	Random Sample
NC_025422	Caulobacter crescentus CB15	Caulobacter	0	Myoviridae	Random Sample
NC_028897	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_014229	Streptomyces avermitilis	Streptomyces	0	Siphoviridae	Random Sample
NC_023586	NA	NA	0	Inoviridae	Random Sample
NC_028765	Staphylococcus sp.	Staphylococcus	1	Myoviridae	Random Sample
NC_003460	Propionibacterium freudenreichii	Propionibacterium	0	Inoviridae	Random Sample
NC_024390	Leuconostoc pseudomesenteroides LN02	Leuconostoc	0	Siphoviridae	Random Sample
NC_031935	Synechococcus sp.	Synechococcus	1	Myoviridae	Random Sample
NC_027393	Vibrio cholerae 2095	Vibrio	1	Podoviridae	Random Sample
NC_008201	Mannheimia haemolytica	Mannheimia	0	Myoviridae	Random Sample
NC_028846	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_016569	Nocardia brasiliensis	Nocardia	0	Siphoviridae	Random Sample
NC_027630	Propionibacterium acnes ATCC 6919	Propionibacterium	0	Siphoviridae	Random Sample
NC_028802	Mycobacterum smegmatis mc2 155	Mycobacterum	0	Siphoviridae	Random Sample
NC_028911	Lactobacillus paracasei	Lactobacillus	0	Siphoviridae	Random Sample
NC_028782	Bacillus megaterium	Bacillus	1	Podoviridae	Random Sample
NC_027332	Acinetobacter baumannii YMC13/03/R2096	Acinetobacter	1	Myoviridae	Random Sample
NC_031075	Lactococcus lactis DGCC7271	Lactococcus	1	Siphoviridae	Random Sample
NC_030933	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Random Sample
NC_028658	Mycobacterium smegmatis mc2 155	Mycobacterium	1	Siphoviridae	Random Sample
NC_026924	NA	NA	0	Myoviridae	Random Sample
NC_022751	Plectonema boryanum	Plectonema	0	Podoviridae	Random Sample
NC_009813	Listeria monocytogenes	Listeria	0	Siphoviridae	Random Sample
NC_028966	Tsukamurella inchonensis strain BEN701	Tsukamurella	0	Siphoviridae	Random Sample
NC_027627	Propionibacterium acnes ATCC 6919	Propionibacterium	0	Siphoviridae	Random Sample
NC_024385	Leuconostoc pseudomesenteroides LN02	Leuconostoc	0	Siphoviridae	Random Sample
NC_031114	Escherichia coli	Escherichia	1	Podoviridae	Random Sample
NC_015292	NA	NA	0	Myoviridae	Random Sample
NC_013644	Enterococcus faecalis	Enterococcus	0	Siphoviridae	Random Sample
NC_004827	Actinobacillus actinomycetemcomitans	Actinobacillus	0	Myoviridae	Random Sample
NC_019444	NA	NA	0	Myoviridae	Random Sample
NC_027987	Leuconostoc mesenteroides 1-A4	Leuconostoc	0	Siphoviridae	Random Sample
NC_001365	Spiroplasma citri	Spiroplasma	0	Inoviridae	Random Sample
NC_009531	Synechococcus sp. WH 8109	Synechococcus	1	Podoviridae	Random Sample
NC_006565	Lactobacillus plantarum	Lactobacillus	0	Myoviridae	Random Sample
NC_031044	Lactococcus lactis DGCC11032	Lactococcus	1	Siphoviridae	Random Sample
NC_016767	Erwinia pyrifoliae	Erwinia	0	Podoviridae	Random Sample
